あなご,りょうはまじうんち,あかさたなはまやら,あ,い
うんち,ほげほげ,かきくけこさしすせそ,あ,い
うま,なはしよぎ,まなとまじうんちですよ,あ,い
いか,あいうえお,あいあいあい,あ,い
こが,こがうんち,こがはまじうんちですよ,あ,い
さくら,こがこが,こがっしーこがっしー,あ,い
みなみ,きーぼーど,きーぼーどにゅうりょく,あ,い
りょうわ,ふりっく,きょうはあいにくのあめ,あ,い
てんねん,てんしのはね,なまむぎなまごめなまたまご,あ,い
みず,らけっと,にんじんしりしり,あ,い
たばこ,かんがるー,とうきょつたわー,あ,い
たまご,はくさい,たまごやき,あ,い
ばれー,ほうれんそう,ぷちぱんけーき,あ,い
とんぼ,にしこり,ちきんなんばん,あ,い
とけい,こーひー,ぱーりーぴーぽー,あ,い
べんざ,こまんど,じょんれのん,あ,い
ねんざ,えじぷと,えれべーたー,あ,い
めがね,ぴらみっと,ものれーる,あ,い
ひげ,ぴざはっと,りくじょうきょうぎ,あ,い
あご,かけざん,はしりたかとび,あ,い
みみ,へそのお,はしりはばとび,あ,い
てくび,さかだち,はんまーなげ,あ,い
あし,いやほん,むふしこうじ,あ,い
はこ,じゅうでん,たいきっく,あ,い
へび,ほうでん,じょぎんぐ,あ,い
ねこ,ろうでん,しょうはし,あ,い
いぬ,すらいむ,こうちょう,あ,い
さかな,かたつむり,ばななのかわ,あ,い
すずき,だいふごう,まりおかーと,あ,い
うさぎ,せきゆおう,ぺっとぼとる,あ,い
とまと,おきなわ,めがねけーす,あ,い
いも,やんばる,れごぶろっく,あ,い
かば,すりらんか,みけんにしわ,あ,い
ばか,ふしんしゃ,うちあげはなび,あ,い
すまほ,すとーかー,といれっとぺーぱー,あ,い
かめら,どりふと,てぃっしゅぺーぱー,あ,い
ぼたん,へるめっと,ぬれてぃっしゅ,あ,い
まやく,べっきー,きっちんぺーぱー,あ,い
みず,きよはら,でんしれんじ,あ,い
びでお,ふりん,もりのくまさん,あ,い
かーど,やぐちまり,どみにかきょうわこく,あ,い
えいが,ぷれぜん,じょこびっち,あ,い
